Code,Name,Date,Open,High,Low,Close,Pct_Change,Amount(million),Volume(shares)
NDX.GI,NASDAQ100,1997-12-09,1082.92,1082.92,1049.02,1050.67,-0.0298,0,308377600
NDX.GI,NASDAQ100,1997-12-10,1050.67,1050.67,1020.54,1033.21,-0.0166,0,235944200
NDX.GI,NASDAQ100,1997-12-11,1033.22,1033.22,995.59,1001.88,-0.0303,0,245360200
NDX.GI,NASDAQ100,1997-12-12,1002.18,1006.82,974.15,978.49,-0.0233,0,219007600
NDX.GI,NASDAQ100,1997-12-15,978.49,991.29,960.2,984.38,0.006,0,239948100
NDX.GI,NASDAQ100,1997-12-16,984.38,1007.58,984.38,997.31,0.0131,0,187798800
NDX.GI,NASDAQ100,1997-12-17,997.3,1011.96,983.13,983.63,-0.0137,0,171424900
NDX.GI,NASDAQ100,1997-12-18,983.63,984.77,956.98,966.77,-0.0171,0,180056700
NDX.GI,NASDAQ100,1997-12-19,966.77,972.93,937.69,969.9,0.0032,0,237445800
NDX.GI,NASDAQ100,1997-12-22,969.89,990.81,969.49,975.69,0.006,0,145015600
NDX.GI,NASDAQ100,1997-12-23,975.59,979.12,949.21,949.57,-0.0268,0,124402000
NDX.GI,NASDAQ100,1997-12-24,949.57,959.89,937.22,938.99,-0.0111,0,71170700
NDX.GI,NASDAQ100,1997-12-26,938.99,954.22,938.99,954.07,0.0161,0,41993700
NDX.GI,NASDAQ100,1997-12-29,954.07,978.67,954.07,978.53,0.0256,0,118129900
NDX.GI,NASDAQ100,1997-12-30,978.53,999.73,978.53,998.46,0.0204,0,127683400
NDX.GI,NASDAQ100,1997-12-31,998.46,1005,990.29,990.8,-0.0077,0,118994500
NDX.GI,NASDAQ100,1998-01-02,990.8,1008.23,987.72,1008.23,0.0176,0,101390400
NDX.GI,NASDAQ100,1998-01-05,1008.23,1028.62,1007.25,1017.42,0.0091,0,183558100
NDX.GI,NASDAQ100,1998-01-06,1017.42,1018.22,1001.94,1006.29,-0.0109,0,156763900
NDX.GI,NASDAQ100,1998-01-07,1006.29,1006.29,978.7,991.19,-0.015,0,187504100
NDX.GI,NASDAQ100,1998-01-08,990.97,1003.71,982.27,994.54,0.0034,0,173066200
NDX.GI,NASDAQ100,1998-01-09,994.54,995.42,950.65,956.19,-0.0386,0,229339500
NDX.GI,NASDAQ100,1998-01-12,956.19,971.32,933.01,971.17,0.0157,0,221087800
NDX.GI,NASDAQ100,1998-01-13,971.17,995.05,971.17,995.05,0.0246,0,212218500
NDX.GI,NASDAQ100,1998-01-14,995.05,1001.94,983.9,996.37,0.0013,0,198700100
NDX.GI,NASDAQ100,1998-01-15,996.37,1004.36,986.98,995.58,-0.0008,0,188469800
NDX.GI,NASDAQ100,1998-01-16,995.58,1008.62,995.58,1005.87,0.0103,0,185864700
NDX.GI,NASDAQ100,1998-01-20,1005.87,1026.88,1005.87,1026.88,0.0209,0,179734700
NDX.GI,NASDAQ100,1998-01-21,1026.88,1029.79,1017.37,1026.52,-0.0004,0,194961600
NDX.GI,NASDAQ100,1998-01-22,1026.74,1029.24,1014.47,1020.63,-0.0057,0,173128200
NDX.GI,NASDAQ100,1998-01-23,1020.63,1028.66,1015.45,1024.47,0.0038,0,164678600
NDX.GI,NASDAQ100,1998-01-26,1024.47,1026.9,1009.68,1016.4,-0.0079,0,162035700
NDX.GI,NASDAQ100,1998-01-27,1016.4,1038.78,1014.36,1035.76,0.019,0,175371700
NDX.GI,NASDAQ100,1998-01-28,1035.76,1064.9,1035.76,1063.22,0.0265,0,220910800
NDX.GI,NASDAQ100,1998-01-29,1063.22,1082.08,1059.6,1069,0.0054,0,213517000
NDX.GI,NASDAQ100,1998-01-30,1069,1080.26,1066.7,1071.13,0.002,0,170848500
NDX.GI,NASDAQ100,1998-02-02,1071.13,1103.62,1071.13,1100.99,0.0279,0,242193100
NDX.GI,NASDAQ100,1998-02-03,1100.99,1113.54,1096.42,1111.26,0.0093,0,204072800
NDX.GI,NASDAQ100,1998-02-04,1111.25,1127.77,1107.46,1124.44,0.0119,0,192842800
NDX.GI,NASDAQ100,1998-02-05,1124.44,1143.49,1113.08,1114.86,-0.0085,0,210020800
NDX.GI,NASDAQ100,1998-02-06,1114.86,1134.39,1110.46,1134.32,0.0175,0,174478100
NDX.GI,NASDAQ100,1998-02-09,1134.32,1138.98,1119.44,1122.72,-0.0102,0,160145900
NDX.GI,NASDAQ100,1998-02-10,1122.68,1144.98,1121.97,1139.79,0.0152,0,194950900
NDX.GI,NASDAQ100,1998-02-11,1139.79,1145.48,1132.5,1138.81,-0.0009,0,174756200
NDX.GI,NASDAQ100,1998-02-12,1138.81,1146.28,1122.48,1144.8,0.0053,0,176514000
NDX.GI,NASDAQ100,1998-02-13,1144.8,1144.8,1136.51,1136.69,-0.0071,0,126366500
NDX.GI,NASDAQ100,1998-02-17,1136.64,1147.7,1125.77,1128.63,-0.0071,0,144822700
NDX.GI,NASDAQ100,1998-02-18,1128.62,1140.74,1125.82,1140.74,0.0107,0,142700400
NDX.GI,NASDAQ100,1998-02-19,1140.76,1161.29,1140.76,1156.75,0.014,0,203078400
NDX.GI,NASDAQ100,1998-02-20,1156.76,1163.84,1144.23,1159.73,0.0026,0,198843500
NDX.GI,NASDAQ100,1998-02-23,1159.73,1185.78,1159.73,1185.53,0.0222,0,181125500
NDX.GI,NASDAQ100,1998-02-24,1185.53,1194.99,1172.34,1172.4,-0.0111,0,192775600
NDX.GI,NASDAQ100,1998-02-25,1172.4,1200.65,1172.4,1200.39,0.0239,0,205197800
NDX.GI,NASDAQ100,1998-02-26,1200.39,1207.84,1196.47,1206.97,0.0055,0,191365100
NDX.GI,NASDAQ100,1998-02-27,1206.92,1213.09,1194.09,1194.13,-0.0106,0,210140100
NDX.GI,NASDAQ100,1998-03-02,1194.13,1204.12,1176.76,1177.59,-0.0139,0,189094800
NDX.GI,NASDAQ100,1998-03-03,1177.59,1177.59,1160.93,1175.72,-0.0016,0,209408300
NDX.GI,NASDAQ100,1998-03-04,1175.72,1181.22,1166.81,1179.87,0.0035,0,184337400
NDX.GI,NASDAQ100,1998-03-05,1179.87,1179.87,1123.86,1126.83,-0.045,0,300693600
NDX.GI,NASDAQ100,1998-03-06,1126.75,1163.11,1126.75,1163.11,0.0322,0,208333200
NDX.GI,NASDAQ100,1998-03-09,1163.11,1163.11,1128.37,1128.37,-0.0299,0,216051300
NDX.GI,NASDAQ100,1998-03-10,1128.37,1148.8,1128.37,1148.61,0.0179,0,211394700
NDX.GI,NASDAQ100,1998-03-11,1148.61,1163.85,1146.78,1153.87,0.0046,0,209101000
NDX.GI,NASDAQ100,1998-03-12,1153.87,1166.43,1147.52,1163.27,0.0081,0,180631700
NDX.GI,NASDAQ100,1998-03-13,1163.27,1180.96,1163.27,1169.29,0.0052,0,171403400
NDX.GI,NASDAQ100,1998-03-16,1169.37,1181.41,1169.37,1180.17,0.0093,0,139846800
NDX.GI,NASDAQ100,1998-03-17,1180.17,1180.17,1158.86,1167.89,-0.0104,0,173261600
NDX.GI,NASDAQ100,1998-03-18,1167.89,1177.62,1157.34,1177.01,0.0078,0,165267200
NDX.GI,NASDAQ100,1998-03-19,1177.01,1186.22,1176.62,1186.16,0.0078,0,152410100
NDX.GI,NASDAQ100,1998-03-20,1186.16,1190.88,1168.39,1169.43,-0.0141,0,168854000
NDX.GI,NASDAQ100,1998-03-23,1169.43,1184.89,1162.93,1179.18,0.0083,0,162344900
NDX.GI,NASDAQ100,1998-03-24,1179.18,1199.84,1179.18,1197.81,0.0158,0,175269200
NDX.GI,NASDAQ100,1998-03-25,1197.81,1230.92,1197.81,1214.82,0.0142,0,235993300
NDX.GI,NASDAQ100,1998-03-26,1214.83,1223.34,1206.33,1217.94,0.0026,0,144167400
NDX.GI,NASDAQ100,1998-03-27,1217.94,1226.72,1206.6,1211.64,-0.0052,0,159630200
NDX.GI,NASDAQ100,1998-03-30,1211.64,1215.17,1201.17,1206.64,-0.0041,0,116314000
NDX.GI,NASDAQ100,1998-03-31,1206.28,1227.04,1206.28,1220.66,0.0116,0,180974200
NDX.GI,NASDAQ100,1998-04-01,1220.66,1230.42,1207.96,1228.41,0.0063,0,180999900
NDX.GI,NASDAQ100,1998-04-02,1228.58,1236.51,1224.05,1230.18,0.0014,0,176240500
NDX.GI,NASDAQ100,1998-04-03,1230.18,1240.28,1226.13,1233.66,0.0028,0,177351700
NDX.GI,NASDAQ100,1998-04-06,1233.66,1234.42,1204.65,1205.37,-0.0229,0,171205000
NDX.GI,NASDAQ100,1998-04-07,1205.37,1205.37,1172.87,1182.13,-0.0193,0,189701200
NDX.GI,NASDAQ100,1998-04-08,1182.13,1197.47,1180.84,1191.06,0.0076,0,156468700
NDX.GI,NASDAQ100,1998-04-09,1191.06,1204.04,1191.06,1196.9,0.0049,0,137215900
NDX.GI,NASDAQ100,1998-04-13,1196.99,1205.48,1184.1,1202.97,0.0051,0,134093200
NDX.GI,NASDAQ100,1998-04-14,1202.97,1216.67,1197.19,1213.12,0.0084,0,163994000
NDX.GI,NASDAQ100,1998-04-15,1213.12,1237.9,1213.12,1231.36,0.015,0,197212300
NDX.GI,NASDAQ100,1998-04-16,1231.36,1231.36,1217.73,1227.53,-0.0031,0,174511200
NDX.GI,NASDAQ100,1998-04-17,1227.53,1231.59,1217.22,1231.25,0.003,0,153455100
NDX.GI,NASDAQ100,1998-04-20,1231.25,1254.01,1230.9,1253.11,0.0178,0,150117100
NDX.GI,NASDAQ100,1998-04-21,1253.11,1270.22,1253.11,1269.7,0.0132,0,177407000
NDX.GI,NASDAQ100,1998-04-22,1269.7,1294.49,1269.7,1290.9,0.0167,0,195553900
NDX.GI,NASDAQ100,1998-04-23,1290.9,1290.9,1257.69,1258.58,-0.025,0,190753200
NDX.GI,NASDAQ100,1998-04-24,1258.58,1269.27,1243.09,1250.14,-0.0067,0,163781700
NDX.GI,NASDAQ100,1998-04-27,1250.14,1250.14,1205.27,1220.05,-0.0241,0,183223000
NDX.GI,NASDAQ100,1998-04-28,1220.05,1242.58,1210.31,1222.5,0.002,0,168272300
NDX.GI,NASDAQ100,1998-04-29,1222.5,1241.76,1222.5,1239.56,0.014,0,150596400
NDX.GI,NASDAQ100,1998-04-30,1239.56,1256.14,1239.56,1248.12,0.0069,0,168804600
NDX.GI,NASDAQ100,1998-05-01,1248.12,1254.07,1241.1,1251.53,0.0027,0,137699200
NDX.GI,NASDAQ100,1998-05-04,1251.53,1268.03,1251.53,1255.82,0.0034,0,134210900
NDX.GI,NASDAQ100,1998-05-05,1255.67,1257.69,1245.27,1247.27,-0.0068,0,140955800
NDX.GI,NASDAQ100,1998-05-06,1247.27,1255.55,1237.58,1242.25,-0.004,0,146209800
NDX.GI,NASDAQ100,1998-05-07,1242.26,1244.13,1222.36,1222.68,-0.0158,0,157626500
NDX.GI,NASDAQ100,1998-05-08,1222.68,1255.08,1217.03,1254.03,0.0256,0,150941200
NDX.GI,NASDAQ100,1998-05-11,1254.03,1263.93,1237.52,1237.67,-0.013,0,158112500
NDX.GI,NASDAQ100,1998-05-12,1237.67,1256.41,1230.58,1256.41,0.0151,0,168969000
NDX.GI,NASDAQ100,1998-05-13,1256.41,1270.37,1256.41,1263.08,0.0053,0,189677100
