Code,Name,Date,Open,High,Low,Close,Pct_Change,Amount,Volume
NDX.GI,纳斯达克100,2025-06-20 15:25,21608.77,21610.8,21596.03,21600.25,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-20 15:30,21600.04,21602.67,21590.29,21602.36,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-20 15:35,21602.83,21606.95,21596.48,21599.25,-0.0001,0,0
NDX.GI,纳斯达克100,2025-06-20 15:40,21598.57,21603.6,21586.87,21590.93,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-20 15:45,21591.98,21600.16,21591.43,21596.94,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-20 15:50,21596.72,21602.42,21582.48,21592.57,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-20 15:55,21591.64,21632.16,21590.32,21632.16,0.0018,0,0
NDX.GI,纳斯达克100,2025-06-20 16:00,21632.36,21641.09,21608.58,21626.39,-0.0003,0,0
NDX.GI,纳斯达克100,2025-06-23 09:30,21632.78,21638.28,21627.88,21636.49,0.0005,0,0
NDX.GI,纳斯达克100,2025-06-23 09:35,21634.04,21634.04,21539.87,21575.87,-0.0028,0,0
NDX.GI,纳斯达克100,2025-06-23 09:40,21577.17,21643.51,21577.17,21639.3,0.0029,0,0
NDX.GI,纳斯达克100,2025-06-23 09:45,21638.65,21663.83,21638.65,21655.04,0.0007,0,0
NDX.GI,纳斯达克100,2025-06-23 09:50,21655.09,21692.45,21649.01,21678.22,0.0011,0,0
NDX.GI,纳斯达克100,2025-06-23 09:55,21679.53,21701.62,21679.53,21695.24,0.0008,0,0
NDX.GI,纳斯达克100,2025-06-23 10:00,21695.14,21729.68,21689.62,21715.47,0.0009,0,0
NDX.GI,纳斯达克100,2025-06-23 10:05,21716.38,21753.71,21716.38,21751.86,0.0017,0,0
NDX.GI,纳斯达克100,2025-06-23 10:10,21752.25,21769.76,21749.49,21751.75,0,0,0
NDX.GI,纳斯达克100,2025-06-23 10:15,21751.81,21765.13,21740.78,21750.85,0,0,0
NDX.GI,纳斯达克100,2025-06-23 10:20,21749.89,21787.15,21748.87,21785.48,0.0016,0,0
NDX.GI,纳斯达克100,2025-06-23 10:25,21785.16,21788.24,21771.13,21779.59,-0.0003,0,0
NDX.GI,纳斯达克100,2025-06-23 10:30,21779.15,21781.12,21756.17,21759.24,-0.0009,0,0
NDX.GI,纳斯达克100,2025-06-23 10:35,21760.18,21773.29,21755,21767.24,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-23 10:40,21767.6,21772.3,21761.34,21771.03,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-23 10:45,21769.74,21794.43,21769.74,21787.01,0.0007,0,0
NDX.GI,纳斯达克100,2025-06-23 10:50,21786.86,21792.86,21764.55,21772.04,-0.0007,0,0
NDX.GI,纳斯达克100,2025-06-23 10:55,21772.07,21773.89,21755.94,21756.12,-0.0007,0,0
NDX.GI,纳斯达克100,2025-06-23 11:00,21756.8,21756.89,21737.92,21739.41,-0.0008,0,0
NDX.GI,纳斯达克100,2025-06-23 11:05,21739.44,21770.29,21738.99,21768.02,0.0013,0,0
NDX.GI,纳斯达克100,2025-06-23 11:10,21769.66,21784.8,21767.97,21780.44,0.0006,0,0
NDX.GI,纳斯达克100,2025-06-23 11:15,21780.41,21783.9,21771.59,21782.05,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-23 11:20,21782.01,21782.19,21773.4,21777.59,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-23 11:25,21771.69,21771.69,21756.66,21757.14,-0.0009,0,0
NDX.GI,纳斯达克100,2025-06-23 11:30,21757.08,21757.08,21723.3,21723.3,-0.0016,0,0
NDX.GI,纳斯达克100,2025-06-23 11:35,21742.94,21746.85,21731.52,21735.88,0.0006,0,0
NDX.GI,纳斯达克100,2025-06-23 11:40,21735.59,21746.29,21728.93,21733.88,-0.0001,0,0
NDX.GI,纳斯达克100,2025-06-23 11:45,21734.18,21734.18,21711.69,21722.44,-0.0005,0,0
NDX.GI,纳斯达克100,2025-06-23 11:50,21723.79,21732.45,21721.15,21727.41,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-23 11:55,21727.67,21742.49,21724.03,21736.83,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-23 12:00,21736.94,21741.6,21719.65,21720.16,-0.0008,0,0
NDX.GI,纳斯达克100,2025-06-23 12:05,21720.22,21724.59,21703.82,21716.72,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-23 12:10,21717.83,21718.96,21702.51,21707.95,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-23 12:15,21712.15,21723.36,21708.31,21714.66,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-23 12:20,21714.72,21715.18,21694.19,21694.19,-0.0009,0,0
NDX.GI,纳斯达克100,2025-06-23 12:25,21691.89,21692.61,21658.32,21659.16,-0.0016,0,0
NDX.GI,纳斯达克100,2025-06-23 12:30,21658.34,21663.98,21632.07,21639.93,-0.0009,0,0
NDX.GI,纳斯达克100,2025-06-23 12:35,21639.3,21639.3,21566.73,21584.2,-0.0026,0,0
NDX.GI,纳斯达克100,2025-06-23 12:40,21583.89,21607.59,21532.32,21601.95,0.0008,0,0
NDX.GI,纳斯达克100,2025-06-23 12:45,21626.46,21686.24,21626.09,21686.24,0.0039,0,0
NDX.GI,纳斯达克100,2025-06-23 12:50,21685.68,21685.68,21632.9,21656.84,-0.0014,0,0
NDX.GI,纳斯达克100,2025-06-23 12:55,21656.92,21661.69,21635.99,21637.55,-0.0009,0,0
NDX.GI,纳斯达克100,2025-06-23 13:00,21637.13,21656.11,21616.05,21629.68,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-23 13:05,21630.06,21700.93,21626.66,21676.61,0.0022,0,0
