代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
SPX.GI,标普500,1928-07-27,19.42,19.42,19.42,19.42,0.0094,0,0
SPX.GI,标普500,1928-07-30,19.47,19.47,19.47,19.47,0.0026,0,0
SPX.GI,标普500,1928-07-31,19.43,19.43,19.43,19.43,-0.0021,0,0
SPX.GI,标普500,1928-08-01,19.42,19.42,19.42,19.42,-0.0005,0,0
SPX.GI,标普500,1928-08-02,19.33,19.33,19.33,19.33,-0.0046,0,0
SPX.GI,标普500,1928-08-03,19.36,19.36,19.36,19.36,0.0016,0,0
SPX.GI,标普500,1928-08-06,19.58,19.58,19.58,19.58,0.0114,0,0
SPX.GI,标普500,1928-08-07,19.49,19.49,19.49,19.49,-0.0046,0,0
SPX.GI,标普500,1928-08-08,19.25,19.25,19.25,19.25,-0.0123,0,0
SPX.GI,标普500,1928-08-09,19.3,19.3,19.3,19.3,0.0026,0,0
SPX.GI,标普500,1928-08-10,19.25,19.25,19.25,19.25,-0.0026,0,0
SPX.GI,标普500,1928-08-13,19.29,19.29,19.29,19.29,0.0021,0,0
SPX.GI,标普500,1928-08-14,19.13,19.13,19.13,19.13,-0.0083,0,0
SPX.GI,标普500,1928-08-15,19.47,19.47,19.47,19.47,0.0178,0,0
SPX.GI,标普500,1928-08-16,19.61,19.61,19.61,19.61,0.0072,0,0
SPX.GI,标普500,1928-08-17,19.64,19.64,19.64,19.64,0.0015,0,0
SPX.GI,标普500,1928-08-20,19.77,19.77,19.77,19.77,0.0066,0,0
SPX.GI,标普500,1928-08-21,20.02,20.02,20.02,20.02,0.0126,0,0
SPX.GI,标普500,1928-08-22,20,20,20,20,-0.001,0,0
SPX.GI,标普500,1928-08-23,20.02,20.02,20.02,20.02,0.001,0,0
SPX.GI,标普500,1928-08-24,20.34,20.34,20.34,20.34,0.016,0,0
SPX.GI,标普500,1928-08-27,20.38,20.38,20.38,20.38,0.002,0,0
SPX.GI,标普500,1928-08-28,20.54,20.54,20.54,20.54,0.0079,0,0
SPX.GI,标普500,1928-08-29,20.58,20.58,20.58,20.58,0.0019,0,0
